用户ID,客户分类,区域,是否省会,7月销量,8月销量,9月销量,10月销量,11月销量
7767,A类,二线城市,否,20,15,23,20,15
7094,A类,二线城市,否,1,14,33,59,34
45449,A类,二线城市,否,37,28,29,22,18
3178,A类,二线城市,否,8,5,12,12,13
2711,A类,一线城市,否,24,27,22,32,23
18559,A类,三线城市,否,10,19,13,3,11
48343,A类,二线城市,否,16,8,30,23,9
2939,A类,一线城市,否,3,,5,1,2
646,A类,二线城市,否,33,30,26,49,37
38230,A类,二线城市,否,12,19,12,14,10
1729,A类,二线城市,否,13,12,26,22,12
312,A类,二线城市,否,53,38,55,50,41
15781,A类,二线城市,否,8,6,10,5,10
59831,A类,三线城市,否,5,32,4,3,7
28140,A类,二线城市,否,26,42,20,45,21
10324,A类,二线城市,否,3,51,22,35,20
1994,A类,二线城市,否,3,8,6,0,8
33743,A类,三线城市,否,4,4,10,0,0
53276,A类,二线城市,否,15,15,12,10,11
55019,A类,二线城市,否,2,9,,0,4
19077,A类,二线城市,否,36,3,2,16,13
24755,A类,二线城市,否,13,16,16,16,7
21707,A类,二线城市,否,6,7,7,6,7
50515,A类,二线城市,否,8,9,10,11,9
114,A类,二线城市,否,14,14,18,25,12
26382,A类,三线城市,否,15,18,11,3,1
9981,A类,三线城市,否,27,15,40,28,25
11178,A类,三线城市,否,17,10,4,12,7
18822,A类,二线城市,否,44,39,46,44,49
19170,A类,三线城市,否,4,1,7,0,1
47190,A类,二线城市,否,21,14,13,19,15
27142,A类,三线城市,否,14,11,24,4,0
3441,A类,二线城市,否,14,9,8,9,6
55086,A类,二线城市,否,31,12,32,11,6
3874,A类,三线城市,否,26,25,20,12,25
7661,A类,二线城市,否,19,28,19,20,35
50019,A类,三线城市,否,38,30,19,23,0
34709,A类,三线城市,否,15,14,10,11,11
2026,A类,一线城市,否,9,4,11,10,15
11437,A类,二线城市,否,30,27,22,2,0
10721,A类,二线城市,否,27,22,10,11,11
10776,A类,二线城市,否,20,10,13,12,21
35638,A类,二线城市,否,44,33,21,32,20
58639,A类,二线城市,否,9,10,20,11,11
33462,A类,一线城市,否,13,10,8,10,15
9769,A类,二线城市,否,16,10,6,18,86
50456,A类,二线城市,否,9,2,11,4,12
26630,A类,三线城市,否,17,9,7,5,13
815,A类,二线城市,否,22,33,18,8,27
45289,A类,二线城市,否,11,11,7,13,13
536,A类,二线城市,否,10,5,5,7,8
45293,A类,三线城市,否,17,8,5,2,0
38604,A类,二线城市,否,22,14,14,19,28
380,A类,二线城市,否,23,15,44,26,31
7315,A类,一线城市,否,11,13,10,6,12
58373,A类,二线城市,否,41,12,4,3,2
16780,A类,一线城市,否,16,7,12,27,19
663,A类,二线城市,否,21,13,30,23,30
56211,A类,二线城市,否,13,6,19,33,12
56267,A类,一线城市,否,9,16,8,3,0
7434,A类,二线城市,否,14,9,0,4,0
58036,A类,二线城市,否,94,88,124,116,58
22825,A类,三线城市,否,13,23,7,1,2
5142,A类,二线城市,否,37,37,56,56,45
48986,A类,二线城市,否,20,16,33,25,21
39829,A类,二线城市,否,17,1,39,18,26
4891,A类,二线城市,否,36,21,36,38,29
1494,A类,二线城市,否,31,40,40,27,35
894,A类,二线城市,否,33,34,34,45,32
55372,A类,二线城市,否,7,5,9,3,3
17662,A类,二线城市,否,4,5,6,19,4
36268,A类,三线城市,否,12,15,13,22,20
10549,A类,二线城市,否,14,7,9,11,5
24486,A类,三线城市,否,8,21,24,23,13
53177,A类,二线城市,否,10,10,8,8,14
59164,A类,二线城市,否,29,16,20,14,4
3045,A类,二线城市,否,23,21,24,19,19
